,Type,Sex,Size,Intake Type,Intake Subtype,Intake Jurisdiction,PredomBreed,PredomColor,IntakeAgeYrs,Type Sex,Type Size,Type Intake Type,Type Intake Subtype,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Type IntakeAgeYrs,Sex Size,Sex Intake Type,Sex Intake Subtype,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Sex IntakeAgeYrs,Size Intake Type,Size Intake Subtype,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Size IntakeAgeYrs,Intake Type Intake Subtype,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Type IntakeAgeYrs,Intake Subtype Intake Jurisdiction,Intake Subtype PredomBreed,Intake Subtype PredomColor,Intake Subtype IntakeAgeYrs,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,Intake Jurisdiction IntakeAgeYrs,PredomBreed PredomColor,PredomBreed IntakeAgeYrs,PredomColor IntakeAgeYrs,Outcome Type
10078,1.0,3.0,5.0,4.0,13.0,12.0,15.0,2.0,0.98,3.0,5.0,4.0,13.0,12.0,15.0,2.0,0.98,15.0,12.0,39.0,36.0,45.0,6.0,2.94,20.0,65.0,60.0,75.0,10.0,4.9,52.0,48.0,60.0,8.0,3.92,156.0,195.0,26.0,12.74,180.0,24.0,11.76,30.0,14.7,1.96,0
10079,1.0,2.0,4.0,1.0,5.0,10.0,44.0,3.0,-1.0,2.0,4.0,1.0,5.0,10.0,44.0,3.0,-1.0,8.0,2.0,10.0,20.0,88.0,6.0,-2.0,4.0,20.0,40.0,176.0,12.0,-4.0,5.0,10.0,44.0,3.0,-1.0,50.0,220.0,15.0,-5.0,440.0,30.0,-10.0,132.0,-44.0,-3.0,0
10080,0.0,4.0,0.0,4.0,1.0,8.0,21.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,32.0,84.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,84.0,0.0,0.08,8.0,21.0,0.0,0.02,168.0,0.0,0.16,0.0,0.42,0.0,3
10081,1.0,3.0,2.0,4.0,2.0,10.0,8.0,13.0,12.19,3.0,2.0,4.0,2.0,10.0,8.0,13.0,12.19,6.0,12.0,6.0,30.0,24.0,39.0,36.57,8.0,4.0,20.0,16.0,26.0,24.38,8.0,40.0,32.0,52.0,48.76,20.0,16.0,26.0,24.38,80.0,130.0,121.89999999999999,104.0,97.52,158.47,2
10082,1.0,2.0,2.0,4.0,2.0,8.0,42.0,2.0,1.99,2.0,2.0,4.0,2.0,8.0,42.0,2.0,1.99,4.0,8.0,4.0,16.0,84.0,4.0,3.98,8.0,4.0,16.0,84.0,4.0,3.98,8.0,32.0,168.0,8.0,7.96,16.0,84.0,4.0,3.98,336.0,16.0,15.92,84.0,83.58,3.98,2
10083,1.0,3.0,2.0,4.0,13.0,10.0,42.0,2.0,2.16,3.0,2.0,4.0,13.0,10.0,42.0,2.0,2.16,6.0,12.0,39.0,30.0,126.0,6.0,6.48,8.0,26.0,20.0,84.0,4.0,4.32,52.0,40.0,168.0,8.0,8.64,130.0,546.0,26.0,28.080000000000002,420.0,20.0,21.6,84.0,90.72,4.32,2
10084,2.0,2.0,4.0,4.0,13.0,10.0,46.0,15.0,0.09,4.0,8.0,8.0,26.0,20.0,92.0,30.0,0.18,8.0,8.0,26.0,20.0,92.0,30.0,0.18,16.0,52.0,40.0,184.0,60.0,0.36,52.0,40.0,184.0,60.0,0.36,130.0,598.0,195.0,1.17,460.0,150.0,0.8999999999999999,690.0,4.14,1.3499999999999999,3
10085,1.0,3.0,4.0,4.0,23.0,10.0,40.0,9.0,2.98,3.0,4.0,4.0,23.0,10.0,40.0,9.0,2.98,12.0,12.0,69.0,30.0,120.0,27.0,8.94,16.0,92.0,40.0,160.0,36.0,11.92,92.0,40.0,160.0,36.0,11.92,230.0,920.0,207.0,68.54,400.0,90.0,29.8,360.0,119.2,26.82,3
10086,0.0,2.0,4.0,4.0,2.0,8.0,22.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.0,8.0,4.0,16.0,44.0,0.0,-2.0,16.0,8.0,32.0,88.0,0.0,-4.0,8.0,32.0,88.0,0.0,-4.0,16.0,44.0,0.0,-2.0,176.0,0.0,-8.0,0.0,-22.0,-0.0,2
10087,1.0,3.0,5.0,4.0,13.0,8.0,15.0,1.0,5.98,3.0,5.0,4.0,13.0,8.0,15.0,1.0,5.98,15.0,12.0,39.0,24.0,45.0,3.0,17.94,20.0,65.0,40.0,75.0,5.0,29.900000000000002,52.0,32.0,60.0,4.0,23.92,104.0,195.0,13.0,77.74000000000001,120.0,8.0,47.84,15.0,89.7,5.98,0
10088,1.0,0.0,1.0,4.0,2.0,8.0,50.0,0.0,0.67,0.0,1.0,4.0,2.0,8.0,50.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,50.0,0.0,0.67,8.0,32.0,200.0,0.0,2.68,16.0,100.0,0.0,1.34,400.0,0.0,5.36,0.0,33.5,0.0,3
10089,0.0,0.0,4.0,3.0,11.0,8.0,22.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,32.0,88.0,0.0,3.0,33.0,24.0,66.0,0.0,2.25,88.0,242.0,0.0,8.25,176.0,0.0,6.0,0.0,16.5,0.0,2
10090,1.0,3.0,4.0,4.0,2.0,8.0,15.0,15.0,0.55,3.0,4.0,4.0,2.0,8.0,15.0,15.0,0.55,12.0,12.0,6.0,24.0,45.0,45.0,1.6500000000000001,16.0,8.0,32.0,60.0,60.0,2.2,8.0,32.0,60.0,60.0,2.2,16.0,30.0,30.0,1.1,120.0,120.0,4.4,225.0,8.25,8.25,0
10091,1.0,2.0,4.0,4.0,2.0,10.0,40.0,18.0,3.9,2.0,4.0,4.0,2.0,10.0,40.0,18.0,3.9,8.0,8.0,4.0,20.0,80.0,36.0,7.8,16.0,8.0,40.0,160.0,72.0,15.6,8.0,40.0,160.0,72.0,15.6,20.0,80.0,36.0,7.8,400.0,180.0,39.0,720.0,156.0,70.2,2
10092,1.0,0.0,4.0,4.0,13.0,12.0,18.0,0.0,4.97,0.0,4.0,4.0,13.0,12.0,18.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,52.0,48.0,72.0,0.0,19.88,52.0,48.0,72.0,0.0,19.88,156.0,234.0,0.0,64.61,216.0,0.0,59.64,0.0,89.46,0.0,2
10093,1.0,3.0,4.0,0.0,13.0,10.0,40.0,18.0,3.02,3.0,4.0,0.0,13.0,10.0,40.0,18.0,3.02,12.0,0.0,39.0,30.0,120.0,54.0,9.06,0.0,52.0,40.0,160.0,72.0,12.08,0.0,0.0,0.0,0.0,0.0,130.0,520.0,234.0,39.26,400.0,180.0,30.2,720.0,120.8,54.36,0
